	Kingdom	Phylum	Class	Order	Family	Genus
ASV295	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Kiloniella
ASV296	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae unclass. 
ASV298	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae group NS4
ASV299	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincolaceae
ASV301	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Geminicoccaceae unclass. 
ASV302	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcinaceae unclass.
ASV303	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacterales unclass.	Enterobacterales unclass.
ASV304	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio
ASV305	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae unlcass.
ASV309	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae unclass. 
ASV310	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacteraceae
ASV311	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter
ASV312	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmata group II	Thermoplasmata group II	Thermoplasmata group II
ASV313	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Desertifilaceae	Hormoscilla SI04-45
ASV314	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinales	Actinomarinales
ASV316	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter
ASV317	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Neptuniibacter
ASV319	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter
ASV320	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae unlcass.
ASV321	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
ASV322	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
ASV323	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadales group BD2-7	Pseudomonadales group BD2-7
ASV324	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita
ASV325	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria group HOC36	Gammaproteobacteria group HOC36	Gammaproteobacteria group HOC36
ASV327	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae unclass. 
ASV328	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	Bermanella
ASV329	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae unclass.
ASV332	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Symphothece PCC-7002
ASV333	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
ASV334	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nautella
ASV335	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae unclass.
ASV336	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonadaceae
ASV338	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria unclass. 	Oxyphotobacteria unclass. 	Oxyphotobacteria unclass. 
ASV340	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiellaceae group R76-B128 
ASV341	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Colwelliaceae	Thalassotalea
ASV343	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrionaceae unclass.
ASV344	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Kordia
ASV345	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacterales unclass.	Enterobacterales unclass.
ASV346	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Labrenzia
ASV349	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Acrophormium PCC-7375
ASV350	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria SAR11 clade	Alphaproteobacteria SAR11 Clade I	Alphaproteobacteria SAR11 Clade I
ASV351	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae group SBR1031	Anaerolineae group SBR1031	Anaerolineae group SBR1031
ASV352	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus
ASV353	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfocapsaceae unclass.
ASV354	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
ASV356	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Propionigenium
ASV357	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula
ASV359	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera
ASV364	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307
ASV365	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Hahellaceae	Hahella
ASV366	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter
ASV367	Bacteria	Bacteria clade NB1-j	Bacteria clade NB1-j	Bacteria clade NB1-j	Bacteria clade NB1-j	Bacteria clade NB1-j
