	Kingdom	Phylum	Class	Order	Family	Genus
ASV4061	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	Spongiibacteraceae
ASV4062	Bacteria	Bacteroidota	Bacteroidia	Bacteroidia	Bacteroidia	Bacteroidia
ASV4063	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales	Kapabacteriales
ASV4064	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae
ASV4065	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
ASV4066	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Kordia
ASV4067	Bacteria	Bacteroidota	Bacteroidia	Bacteroidia	Bacteroidia	Bacteroidia
ASV4068	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae
ASV4069	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae
ASV407	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j
ASV4070	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae
ASV4071	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales	Defluviicoccales
ASV4072	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	Nisaea
ASV4073	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae
ASV4074	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella
ASV4075	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae
ASV4076	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter
ASV4077	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peregrinibacteria	Candidatus Peregrinibacteria	Candidatus Peregrinibacteria
ASV4078	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96
ASV4079	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobiaceae
ASV408	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae
ASV4080	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacterales	Syntrophobacterales
ASV4081	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfospira
ASV4082	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	Simkaniaceae
ASV4083	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Xenococcus CRM
ASV4084	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincolaceae
ASV4085	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10
ASV4086	Bacteria	Desulfobacterota	Desulfobacterota	Desulfobacterota	Desulfobacterota	Desulfobacterota
ASV4087	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula
ASV4088	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
ASV4089	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55
